Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2017M06;166.265
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2017M05;167.412
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2017M04;133.620
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2017M03;170.285
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2017M02;148.924
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2017M01;156.334
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M12;122.918
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M11;146.205
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M10;127.558
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M09;132.844
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M08;134.949
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M07;131.976
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M06;152.110
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M05;150.813
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M04;153.169
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M03;143.108
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M02;154.952
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2016M01;137.101
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M12;124.160
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M11;134.341
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M10;130.538
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M09;132.894
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M08;124.076
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M07;145.471
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M06;146.580
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M05;137.607
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M04;132.653
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M03;143.944
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M02;146.565
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2015M01;140.739
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M12;123.843
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M11;125.227
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M10;134.245
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M09;123.702
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M08;110.604
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M07;138.430
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M06;126.247
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M05;137.265
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M04;121.864
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M03;138.533
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M02;138.861
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2014M01;143.777
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M12;114.095
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M11;131.154
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M10;140.863
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M09;125.569
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M08;120.484
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M07;147.870
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M06;137.905
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M05;143.571
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M04;142.409
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M03;127.125
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M02;150.690
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2013M01;154.761
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M12;114.980
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M11;135.175
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M10;131.539
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M09;122.451
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M08;128.265
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M07;134.332
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M06;131.033
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M05;141.720
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M04;115.564
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M03;146.297
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M02;149.487
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2012M01;151.790
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M12;114.255
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M11;134.892
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M10;122.212
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M09;123.514
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M08;121.233
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M07;128.164
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M06;141.715
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M05;147.287
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M04;124.075
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M03;167.854
Tipo de dato;Número;Naturaleza de la finca;Total fincas;Total Nacional;Total Nacional;2011M02;164.691
